Cons_No,Contract_Ac,Contract,Install_No,GIC_Code,Sch_No.,Leg_Ac_No,Meter_No,Meter_Typ,Tariff,PSC_Cons_IBC,IBC_Name,AMR_STATUS,Actual_Latitude,Actual_Longitude,DTS_ID,PMT_Name,FeederID_(BH),Feeder_Name_(BH),FeederID,Feeder_Name,CM_No
AL082146,400002037066,30525285,7000213945,D0302,2970,2852484321659,SCT36562,Single,A3-G,145,TIPUSULTAN,Non AMR,24.85677923,67.0657859,506079,13-M PECHS BLOCK-6 PMT,,,178,PECHS SCHOOL WALI PMT-A,0
LA092593,400002172478,30530333,7000220723,D0302,2970,2752481671409,TY75063,Three,A3-G,140,LAYARI-I,Non AMR,24.85638223,66.98453274,7101,BURMA COLONY PMT-1,,,844,BURMA COLONY PMT-1,0
LB092592,400002132069,30527162,7000217179,D0302,2970,2752481671395,TO23530,Three,A3-G,140,LAYARI-I,Non AMR,24.85775181,66.98492132,7101,BURMA COLONY PMT-1,,,844,BURMA COLONY PMT-1,0
BL000298,400002172982,30529782,7000218296,D0302,2970,2752483139208,CTO-45682,CTO,A3-G,125,CLIFTON,AMR,24.83812783,66.98718779,212,GHAS BUNDER PMT,,,743,TIMBER POND RMU D/PMT-1 B,0
BL004199,400002079834,30524228,7000213025,D0302,2970,2752483140947,CTO-73424,CTO,C-1_TOD,125,CLIFTON,AMR,24.82008192,66.97713789,524650,MULES MANSION PMT-2,,,80,MULES MANSION PMT-1 (LOCAL),0
AL020064,400002039832,30526451,7000214118,D0302,2970,2752483283589,TU99126,Three,A1-R,131,SADDAR,Non AMR,24.84599976,67.02887937,172694,CHIEF MINISTER HOUSE PMT-2,,,744,CHIEF MINISTER HOUSE PMT-2,0
AL921026,400002081448,30528970,7000217033,D0302,2970,2752483283600,TY98116,Three,A1-R,131,SADDAR,Non AMR,24.84177497,67.03208428,504985,HIRA APPARTMENT,,,8,AMERICAN EMBASSY SS,0
AL022020,400002014015,30535516,7000202741,D0302,2970,2852484275606,TZ45988,Three,A3-G,148,SHAH FAISAL,Non AMR,24.88616337,67.14405242,2250,SANGAM CINEMA S/S,,,270,SANGAM CINEMA S/S,0
BL001257,400002254989,30536539,7000202886,D0302,2970,2852483631654,CTO-54998,CTO,A3-G,118,DEFENCE,AMR,24.84813918,67.05151822,172450,RAILWAY COLONY KALAPUL,,,29,HAZARA COLONY PMT-1,0
BH000480,400002227914,30530288,7000218791,G0101,860/142,2352487990109,HTO-6797,HTO,B-3_TOD,144,LAYARI-II,AMR,24.87595891,66.99662279,11495,KWSB CHAKIWARA S/S(BH-480),569,HINGORABAD,569,NAVAL FLAT S/S(BH-060),0
BL000230,400002041888,30535870,7000202072,D0302,2970,2852483630208,CTO-68618,CTO,A1-R_TOD,118,DEFENCE,AMR,24.84444568,67.05101162,7846,RAILWAY COLONY S/S,,,29,HAZARA COLONY PMT-1,0
BL000001,400002152116,30519465,7000206547,D0302,2970,2752483110234,CTO-89573,CTO,A1-R_TOD,131,SADDAR,AMR,24.84281947,67.02980708,4232,RAILWAY OFFICER BANGLOW RMU,,,170,PAK. HERALD S/S,Check Meter # CTO-72438
BL004167,400002148356,30531635,7000219975,D0302,2970,2752483161653,CTO-57446,CTO,A3-G,131,SADDAR,AMR,24.84797002,67.01877147,171449,RAILWAY COLONY D/PMT-1 LHS,,,3242,RAILWAY COLONY D/PMT-1 LHS,Check Meter # CTO-49116
BH001228,400024465444,32371125,7002388725,G0101,861/279,2352487990079,HTO-3733,HTO,B-3_TOD,144,LAYARI-II,AMR,24.87643676,66.99646689,521689,RO PLANT KWSB S/S (BH-1228),569,HINGORABAD,569,NAVAL FLAT S/S(BH-060),0
BH001346,400026341912,32553910,7002573827,G0101,861/291,2552481610058,HTO-3352,HTO,B-3_TOD,140,LAYARI-I,AMR,24.86631606,66.98386252,525926,RO PLANT HINGORABAD S/S(BH-1346),569,HINGORABAD,569,NAVAL FLAT S/S(BH-060),0
BH000033,400002150644,30521575,7000210658,F0408,324,2852184120279,HTO-5516,HTO,C-2_TOD,148,SHAH FAISAL,AMR,24.94245615,67.20394045,6668,MES-03 S/S (BH-00033),582,M.E.S.III,582,MES-03 S/S (BH-00033),ZMG405_51515410_MES-3_SW10_T1
LA933296,400001991270,30532019,7000220178,D0302,2970,2752483172191,TZ87926,Three,A3-G,131,SADDAR,Non AMR,24.8481696,66.99564546,7463,WRITER CHAMBER PMT,,,2176,BUSINESS CENTER SS,0
LB491764,400047123214,34471490,7004067908,D0302,2970,,TU71355,Three,A1-R_TOD,131,SADDAR,Non AMR,0,0,533010,PAKISTAN RAILWAYS SADDAR PMT-2,,,2044,DR. ZIAUDDIN ROAD PMT,0
LB025022,400002069437,30528298,7000217763,D0302,2970,2752483170032,TZ92105,Three,A3-G,131,SADDAR,Non AMR,24.84798645,66.99763265,506000,UNI CENTRE S/S LOCAL-2,,,172,UNI CENTRE S/S LOCAL-2,0
AL074313,400002256377,30536613,7000203046,D0302,2970,2852484320652,TJ74368,Three,A3-G,145,TIPUSULTAN,Non AMR,24.86827687,67.08743803,524122,UMER COLONY PMT,,,2125,UMER COLONY PMT,0
BH000170,400002186614,30521182,7000209228,F0403,313,2852384120281,SS1817,Three,C-2,135,MALIR,Non AMR,24.93034519,67.2188532,502768,MES-105 (PAF) (BH-170),586,DAMLOTEE-I,586,MES-105 (PAF) (BH-170),0
BL007143,400029044978,32816231,7002841612,D0302,2970,,CTO-55204,CTO,A3-G,142,BIN QASIM,AMR,24.84498267,67.34021075,528117,EXECUTIVE ENG. SIGNAL SRP PMT,,,3869,ALLAH BUX HIMAYATI GOTH 02,Check Meter # CTO-55203
BL000142,400002178115,30532753,7000220917,D0302,2970,2852483612919,CTO-90213,CTO,C-1_TOD,125,CLIFTON,AMR,24.84162954,67.03963168,173382,MC NIEL STREET,,,9,#N/A,0
AL958545,400002037945,30535776,7000201994,D0302,2970,2852483610231,CTO-89351,CTO,A1-R_TOD,125,CLIFTON,AMR,24.83795988,67.03794658,7361,ANTHONIAN SOCIETY S/S,,,9,#N/A,0
BL002113,400002026072,30524643,7000212945,D0302,2970,2952486321790,CTO-73944,CTO,C-1_TOD,142,BIN QASIM,AMR,24.85148119,67.21171014,502590,LANDHI RAILWAY ST. PMT 01,,,535,QUIADABAD PMT (FOOT BALL GROUND) - 02,Check Meter # CTO-86994
BL007812,400027099627,32629115,7002649492,D0302,2970,2852483650063,CTO-61796,CTO,A3-G,145,TIPUSULTAN,AMR,24.84936647,67.05551874,530276,RAILWAY COLONY PUMP PMT,,,15,NAZAR HOTELPMT-2,0
AL128032,400002020977,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
LA797397,400002095597,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
LA797398,400002097107,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
LA103244,400002047312,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
AL113328,400002222319,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
TL009663,400002051317,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
BL000020,400002160739,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
AL113433,400002000200,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
AL034884,400002004427,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400044690727,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400044282931,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400036673050,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400038555497,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400036673182,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400036673147,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400036673204,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400038336698,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400038336857,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
,400038338119,,-,D0302,,,Inactive,Inactive,,,#N/A,Inactive,0,0,,Null,,,Null,Null,0
AL737578,400002233779,30531575,7000220037,K0305,5560,2952385556347,788338,Single,A3-G,132,F B AREA,Non AMR,24.91813635,67.06812043,8333,SAGUM GROUND DR. ALVI SB.,,,2019,SAGUM GROUND DR. ALVI SB.,0
DP000671,400002216327,30525912,7000214737,K0305,6460,2952385713205,Hook Connection,Hook,A1-R,133,NORTH KARACHI,Hook,0,0,526731,"P-11/8/12 D/PMT (RHS), SECTOR-11G",,,4120,"P-11/8/12 D/PMT (RHS), SECTOR-11G",0
DP000897,400002122853,30519907,7000208397,K0305,6565,2952385340239,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,4784,"P-13/14, MEDLYNE BL 'H'",,,3754,"P-13/14, MEDLYNE BL 'H'",0
DP000875,400002053959,30530045,7000220168,K0305,6165,2952385230085,Hook Connection,Hook,A1-R,136,NAZIMABAD,Hook,0,0,,Null,,,Null,Null,0
DP000876,400002055072,30530062,7000220183,K0305,6165,2952385230093,Hook Connection,Hook,A1-R,136,NAZIMABAD,Hook,0,0,,Null,,,Null,Null,0
DP000882,400002097646,30532710,7000200623,K0305,6565,2952385310143,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,8467,P-10 COMMUNITY CENTER,,,662,NATIONAL YOUTH CENTER S/S,0
DP000881,400002097565,30532694,7000200606,K0305,6565,2952385310097,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,511631,P-6 GOLDEN GATE D/PMT-2 (LHS),,,663,"P-2/1, BLOCK-A,",0
DP000885,400002099088,30532751,7000200680,K0305,6565,2952385320181,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,4784,"P-13/14, MEDLYNE BL 'H'",,,3754,"P-13/14, MEDLYNE BL 'H'",0
DP000890,400002101163,30532818,7000201068,K0305,6565,2952385320203,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,4783,"P-3, TAIMURIA LIBRARY",,,3754,"P-13/14, MEDLYNE BL 'H'",0
DP000880,400002057083,30530133,7000220531,K0305,6565,2952385310089,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,8471,P-6 GOLDEN GATE D/PMT-1 (RHS),,,663,"P-2/1, BLOCK-A,",0
DP001121,400002006284,30515588,7000205695,K0305,6565,2952385320505,Hook Connection,Hook,A1-R,124,NORTH NAZIMABAD,Hook,0,0,9880,"P-65/6, KHALILABAD BL-S",,,1292,SHIP OWNER COLLEGE S/S,0
DP000853,400001984746,30520978,7000209231,K0305,6165,2952385140914,Hook Connection,Hook,A1-R,136,NAZIMABAD,Hook,0,0,,Null,,,Null,Null,0
DP000861,400001986145,30521098,7000209367,K0305,6165,2952385150146,Hook Connection,Hook,A1-R,136,NAZIMABAD,Hook,0,0,,Null,,,Null,Null,0
DP000844,400002256477,30517467,7000205646,K0305,6165,2952385120115,Hook Connection,Hook,A1-R,136,NAZIMABAD,Hook,0,0,,Null,,,Null,Null,0
DP003171,400029509512,,-,K0305,,,Hook,Inactive,,136,NAZIMABAD,Inactive,0,0,,Null,,,Null,Null,0
DP002072,400005629819,30547563,7000551322,K0305,6460,2952385790927,Hook,Inactive,A1-R,134,NEW KARACHI,Inactive,0,0,523633,"P-12/10A/7/1/1, (OLD P-12/10A/8/1)",,,3474,"P-12/10A/7/1/1, (OLD P-12/10A/8/1)",0
DP003171,400029511697,32858482,-,K0305,6165,,Hook,Inactive,A1-R,136,NAZIMABAD,Inactive,0,0,,Null,,,Null,Null,0
DP002060,400005629169,30547344,7000551111,K0305,6165,2952385623297,Hook,Inactive,A1-R,127,LIAQATABAD,Inactive,0,0,567,PWD PUMPING-I S/S,,,1266,PWD PUMPING-I S/S,0
DP001986,400005578106,30540670,7000544168,K0305,6565,2952385320114,Hook,Inactive,A1-R,124,NORTH NAZIMABAD,Inactive,0,0,170539,P-11/1 PMT,,,866,P-11/1 PMT,0
DP001962,400005574771,30540679,7000544176,K0305,6465,2952385790757,Hook,Inactive,A1-R,133,NORTH KARACHI,Inactive,0,0,12462,"P-8A, SEC-7D/2, NK (LHS)",,,859,"P-19, SEC-7D/3, NK(LHS)",0
DP001794,400002188347,30528349,7000219063,K0305,6565,2952385337084,Hook,Inactive,A1-R,124,NORTH NAZIMABAD,Inactive,0,0,500183,"P-2/1, BLOCK-A,",,,663,"P-2/1, BLOCK-A,",0
